ABSTIMMUNGSTAG,STAT_VORLAGE_ID,VORLAGE_KURZBEZ,VORLAGE_LANGBEZ,VORLAGENART,ABSTIMMUNGSART_BEZ,JA_ANTEIL_PROZENT,STIMMBETEILIGUNG,JA_STIMMEN,NEIN_STIMMEN,EINGELEGTE_STIMMEN,GÜLTIGE_STIMMEN,UNGÜLTIGE_STIMMEN,LEERE_STIMMEN,ANNEHMENDE_GEBIETE,ABLEHNENDE_GEBIETE,URL_VOLKSABSTIMMUNG,URL_ZEITUNG,URL_AMTSBLATT
"20.10.1974",645,"Volksinitiative «gegen die Ueberfremdung und Ueberbevölkerung der Schweiz»","Volksinitiative «gegen die Ueberfremdung und Ueberbevölkerung der Schweiz»","Volksinitiative","eidgenössisch",35.33,74.03,171228,313405,488796,484633,0,0,7,161,,,
"08.12.1974",1628,"Jährlicher Staatsbeitrag an das Konservatorium Zürich von 2.45 Mio","Beschluss des Kantonsrates über die Ausrichtung eines jährlichen Staatsbeitrages an die Stiftung Konservatorium und Musikhochschule Zürich (2:45 Mio.)","Obligatorisches Referendum","kantonal",44.25,42.72,119548,150624,282512,270172,26,12314,21,147,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19741208_Volksabstimmung.pdf",,
"08.12.1974",649,"Gegenentwurf zur Volksinitiative «Soziale Krankenversicherung»","Volksinitiative «Soziale Krankenversicherung»: Gegenentwurf zur Volksinitiative «Soziale Krankenversicherung»","Volksinitiative mit Gegenvorschlag: Gegenvorschlag","eidgenössisch",41.88,41.3,104489,145004,273102,267179,0,0,34,134,,,
"08.12.1974",1631,"Volksinitiative für ein neues Gesetz über den regionalen öffentlichen Verkehr","Volksinitiative für ein neues Gesetz über den regionalen öffentlichen Verkehr","Volksinitiative","kantonal",38.5,42.72,98632,157550,282512,256182,382,25948,0,168,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19741208_Volksabstimmung.pdf",,
"08.12.1974",647,"Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen","Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen","Obligatorisches Referendum","eidgenössisch",77.52,40.92,196686,57023,270633,253709,0,0,168,0,,,
"08.12.1974",646,"Bundesbeschluss zur Verbesserung des Bundeshaushalts","Bundesbeschluss zur Verbesserung des Bundeshaushalts","Obligatorisches Referendum","eidgenössisch",48.85,41.06,126850,132796,271505,259646,0,0,52,116,,,
"08.12.1974",1630,"Einführungsgesetz zum Bundesgesetz über den Schutz der Gewässer gegen Verunreinigung","Einführungsgesetz zum Bundesgesetz über den Schutz der Gewässer gegen Verunreinigung (Gewässerschutzgesetz) vom 8. Oktober 1971","Obligatorisches Referendum","kantonal",90.98,43.07,252369,25013,284859,277382,26,7451,167,1,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19741208_Volksabstimmung.pdf",,
"08.12.1974",1629,"Aufhebung des Gesetzes zur Bekämpfung der Jugendkriminalität vom 30.6.1974","Aufhebung des Gesetzes zur Bekämpfung der Jugendkriminalität vom 30.6.1974","Obligatorisches Referendum","kantonal",59.49,43.07,155273,105745,284859,261018,53,23788,156,12,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19741208_Volksabstimmung.pdf",,
"08.12.1974",648,"Volksinitiative «Soziale Krankenversicherung»","Volksinitiative «Soziale Krankenversicherung»","Volksinitiative mit Gegenvorschlag: Initiative","eidgenössisch",24.54,41.3,63466,195110,273102,267179,0,0,0,168,,,
"02.03.1975",1635,"Gesetz betreffend die Übernahme der Mädchenschule der Stadt Winterthur durch den Staat","Gesetz betreffend die Übernahme der Mädchenschule der Stadt Winterthur durch den Staat","Obligatorisches Referendum","kantonal",69.07,34.87,151754,67971,230769,219725,22,11022,114,54,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750302_Volksabstimmung.pdf",,
"02.03.1975",1634,"Gesetz über die Gebäudeversicherung","Gesetz über die Gebäudeversicherung","Obligatorisches Referendum","kantonal",76.97,34.8,159324,47684,230304,207008,22,23274,168,0,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750302_Volksabstimmung.pdf",,
"02.03.1975",650,"Bundesbeschluss über den Konjunkturartikel der Bundesverfassung","Bundesbeschluss über den Konjunkturartikel der Bundesverfassung","Obligatorisches Referendum","eidgenössisch",62.92,32.26,130452,76879,213492,207331,0,0,132,36,,,
"02.03.1975",1633,"Gesetz betreffend die Übernahme der Töchterschule der Stadt Zürich durch den Staat","Gesetz betreffend die Übernahme der Töchterschule der Stadt Zürich durch den Staat","Obligatorisches Referendum","kantonal",69.55,34.8,153348,67137,230304,220485,20,9799,108,60,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750302_Volksabstimmung.pdf",,
"02.03.1975",1632,"Beschluss des Kantonsrates über einen Kredit für die Korrektion der Glatt","Beschluss des Kantonsrates über die Bewilligung eines Kredites für die Korrektion der Glatt von Niederglatt bis zum Rhein in den Gemeinden Niederglatt: Häri: Bülach: Hochfelden und Glattfelden (41:1 Mio.)","Obligatorisches Referendum","kantonal",71.44,34.87,156093,62411,230769,218504,23,12242,163,5,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750302_Volksabstimmung.pdf",,
"08.06.1975",1636,"Beschluss des Kantonsrates über einen Kredit für die zweite Bauetappe der Kantonsschule Unterland","Beschluss des Kantonsrates über die Bewilligung eines Kredites für die Erstellung der zweiten Bauetappe (E2) für die Kantonsschule Zürcher Unterland (29:5 Mio.)","Obligatorisches Referendum","kantonal",53.36,41.88,141472,123641,277768,265113,63,12592,96,72,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750608_Volksabstimmung.pdf",,
"08.06.1975",651,"Bundesbeschluss über den Schutz der Währung: Änderung vom 28. Juni 1974 (Verlängerung)","Bundesbeschluss über den Schutz der Währung: Änderung vom 28. Juni 1974 (Verlängerung)","Obligatorisches Referendum","eidgenössisch",88.74,40.97,237010,30071,271770,267081,0,0,168,0,,,
"08.06.1975",1637,"Gesetz über die Änderung des Gesetzes über Jagd und Vogelschutz","Gesetz über die Änderung des Gesetzes über Jagd und Vogelschutz","Obligatorisches Referendum","kantonal",86.85,41.88,226812,34355,277768,261167,57,16544,164,4,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750608_Volksabstimmung.pdf",,
"08.06.1975",656,"Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen","Bundesbeschluss über die Erschwerung von Ausgabenbeschlüssen","Obligatorisches Referendum","eidgenössisch",80.9,41.07,215882,50957,272413,266839,0,0,167,1,,,
"08.06.1975",655,"Bundesbeschluss betreffend Erhöhung der Steuereinnahmen ab 1976","Bundesbeschluss betreffend Erhöhung der Steuereinnahmen ab 1976","Obligatorisches Referendum","eidgenössisch",59.55,41.04,159027,108007,272199,267034,0,0,147,21,,,
"08.06.1975",654,"Bundesgesetz über die Änderung des Generalzolltarifs","Bundesgesetz über die Änderung des Generalzolltarifs","Fakultatives Referendum","eidgenössisch",48.35,40.98,128241,137014,271824,265255,0,0,70,98,,,
"08.06.1975",652,"Bundesbeschluss über die Finanzierung der Nationalstrassen","Bundesbeschluss über die Finanzierung der Nationalstrassen","Fakultatives Referendum","eidgenössisch",52.1,41.01,139351,128137,272013,267488,0,0,83,85,,,
"08.06.1975",1638,"Ergänzung des Gesetzes über die Ausbildung von Lehrkräften der Realschule und der Oberschule","Ergänzung des Gesetzes über die Ausbildung von Lehrkräften der Realschule und der Oberschule","Obligatorisches Referendum","kantonal",72.94,41.88,189248,70210,277768,259458,66,18244,162,6,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750608_Volksabstimmung.pdf",,
"07.09.1975",1643,"Gesetz über Schulversuche","Gesetz über Schulversuche","Obligatorisches Referendum","kantonal",53.14,28.42,92762,81790,189124,174552,32,14540,73,95,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750907_Volksabstimmung.pdf",,
"07.09.1975",1642,"Gesetz über die Raumplanung und das öffentliche Baurecht (Planungs- und Baugesetz)","Gesetz über die Raumplanung und das öffentliche Baurecht (Planungs- und Baugesetz)","Obligatorisches Referendum","kantonal",56.8,28.95,104059,79139,192691,183198,17,9476,81,87,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750907_Volksabstimmung.pdf",,
"07.09.1975",1640,"Volksinitiative zu einer umfassenden Reform des Zürcher Schulwesens","Volksinitiative zu einer umfassenden Reform des Zürcher Schulwesens","Volksinitiative","kantonal",29.86,28.42,52610,123590,189124,176200,45,12879,1,167,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750907_Volksabstimmung.pdf",,
"07.09.1975",1641,"Beschluss des Kantonsrates über einen Kredit zur Eröffnung des Stipendienfonds der Lehranstalten","Beschluss des Kantonsrates über die Bewilligung eines Kredites zur Wiederäuffnung des Stipendienfonds der höheren Lehranstalten (jährlich 1 Mio.: längstens bis 1979)","Obligatorisches Referendum","kantonal",40.72,28.95,75249,109546,192691,184795,16,7880,18,150,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750907_Volksabstimmung.pdf",,
"07.09.1975",1639,"Verfassungsgesetz über die Ergänzung der Staatsverfassung durch einen Art. 63bis (Schulversuche)","Verfassungsgesetz über die Ergänzung der Staatsverfassung durch einen Art. 63bis (Schulversuche)","Obligatorisches Referendum","kantonal",54,28.42,94090,80147,189124,174237,25,14862,78,90,"http://www.web.statistik.zh.ch/cms_abstimmungsarchiv/pdf/19750907_Volksabstimmung.pdf",,
"07.12.1975",659,"Bundesgesetz über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten","Bundesgesetz über die Ein- und Ausfuhr von Erzeugnissen aus Landwirtschaftsprodukten","Fakultatives Referendum","eidgenössisch",41.57,37.89,101196,142218,252744,243414,0,0,104,64,,,
"07.12.1975",658,"Bundesbeschluss betreffend Änderung der Bundesverfassung im Gebiete der Wasserwirtschaft","Bundesbeschluss betreffend Änderung der Bundesverfassung im Gebiete der Wasserwirtschaft","Obligatorisches Referendum","eidgenössisch",83.15,37.49,195853,39686,250027,235539,0,0,168,0,,,
